"","id","plot_mean","plot_sd","plot_reps","plot_se"
"61",61,59.5362837645186,3.99342843293024,11,1.20406397628787
"62",62,56.5453624291608,3.5209582027519,11,1.06160884191383
"63",63,52.692205872152,3.12144967566589,11,0.941152488741846
"64",64,55.8224965256016,3.61931890991387,11,1.09126571098386
"65",65,56.253241888871,5.27564642044952,11,1.5906672457466
"66",66,50.7656284793158,4.45842427275425,11,1.34426549717627
"67",67,49.3744375077227,4.18248434851688,11,1.26106647959678
"68",68,52.9682848117204,4.45474495380452,11,1.34315614077261
"69",69,55.1284060102695,5.17892496979021,11,1.5615046311088
"70",70,56.2301075054288,4.37465282144692,11,1.31900745425537
"71",71,54.1745439580792,4.26586595185542,11,1.28620697893243
"72",72,58.501068622242,3.38591421812816,11,1.02089154853279
"85",85,56.2844168111486,4.66433033300636,10,1.47499076117118
"86",86,51.8231889139707,5.20250511620656,10,1.64517657058917
"88",88,56.0380585414657,4.37938496475883,10,1.38488312393341
"89",89,55.1597191362104,5.08910317185951,10,1.60931572706634
"90",90,54.4879028900512,4.81513188804307,10,1.5226784000323
"91",91,53.0061976390733,2.80680502830802,10,0.887589683746671
"92",92,58.8154670832947,3.57686053461994,10,1.13110261621666
"93",93,59.0945583778819,3.81227743046459,10,1.20554797527223
"94",94,52.9578710847651,2.45691250536424,10,0.776943952870165
"95",95,54.334136800434,3.03611382651774,10,0.960103492732539
"96",96,55.6920059184947,2.61935612679107,10,0.828313136377659
"100",100,57.4284382900965,3.23916813542974,11,0.97664593982687
"101",101,60.2055019455031,3.23142712151307,11,0.974311936312458
"102",102,58.8279031051568,2.89672565676649,11,0.873395647644571
"103",103,57.1218950879784,2.13579673040276,11,0.643966943928527
"104",104,59.880075167143,3.91249939631794,11,1.17966295364351
"105",105,59.1689730198438,3.95315090663815,11,1.19191984517927
"106",106,57.8304441586502,3.27682255151858,11,0.987999173451106
"107",107,57.6181457306251,2.94706616733443,11,0.888573882672642
"108",108,61.5078289453763,2.00152886698639,11,0.603483659896274
"97",97,58.8397506316581,3.33158791365066,11,1.00451155142384
"98",98,57.8570845027263,2.84275754469928,11,0.857123649610862
"109",109,59.9140528357819,4.95659586351131,11,1.49446988333588
"110",110,56.3805978048141,6.34038174449341,11,1.91169702491851
"111",111,63.2179406086088,2.6740048156005,11,0.806242787359122
"112",112,57.035021732187,4.26537967581016,11,1.28606036118819
"113",113,57.6185044648787,4.38633376159304,11,1.32252939022476
"114",114,54.662407174592,7.0605957497449,11,2.12884971802563
"115",115,62.2291989763309,2.34886518388283,11,0.708209499824407
"116",116,58.4679136094039,4.66594367660585,11,1.40683495165754
"117",117,58.8330009174027,3.5013261720177,11,1.05568956193037
"118",118,57.0020554882703,5.75441923832172,11,1.73502268181053
"119",119,54.9626308168715,4.8455575101001,11,1.46099056009916
"120",120,62.2367599987245,1.64482165787512,11,0.495932389656553
"121",121,32.0208884620713,3.66179465383579,11,1.1040726296457
"122",122,32.850399500713,4.77350722754842,11,1.4392665825298
"123",123,33.7487422927875,4.27643051419136,11,1.28939231432722
"124",124,36.1658730683452,3.04978665982476,11,0.919545276479091
"125",125,35.375386680003,3.60032133036691,11,1.08553772523093
"126",126,33.6562558426065,3.18126961509439,11,0.959188879111495
"127",127,30.4737591445733,3.34867906327414,11,1.00966472692719
"128",128,34.8585670147656,4.20275025070788,11,1.26717687901547
"129",129,30.3279857379296,3.84177410774406,11,1.15833847678995
"130",130,31.8747768399164,3.77335084073864,11,1.13770808555474
"131",131,29.7585595673667,2.65170198288922,11,0.799518230280449
"132",132,36.5614341872456,2.41975234426292,11,0.729582782863907
"133",133,35.0493317709,3.73022207530679,11,1.12470427349941
"134",134,34.054900137844,3.58737887725177,11,1.08163542879005
"135",135,36.9154960155089,3.61120015973529,11,1.08881781570122
"136",136,36.1591231055561,3.39671429640375,11,1.02414789465521
"137",137,32.0786358669223,4.40825293447027,11,1.329138269511
"138",138,31.5795278659814,4.51476152233592,11,1.36125181704745
"139",139,30.7948790871127,3.80171597953489,11,1.14626049669233
"140",140,38.6098573748367,3.21992648909298,11,0.970844365167983
"141",141,35.5225843014475,4.65224877422803,11,1.40270578322775
"142",142,34.5607630554481,5.14410542077308,11,1.55100614206705
"143",143,29.6750007713271,3.827372813874,11,1.15399632331153
"144",144,31.2907037644145,4.21015509543565,11,1.26940952370572
"145",145,39.4221530955594,4.30322642811984,11,1.29747158636498
"146",146,38.7501571428147,3.37091385945873,11,1.01636877022122
"147",147,41.7795021810675,3.21595562334437,11,0.969647104096981
"148",148,40.5086261254315,3.30556200628408,11,0.996664445099883
"149",149,44.5802876174339,3.27447726932494,11,0.987292044263488
"150",150,39.3225765366633,4.07579841831357,11,1.22889946133365
"151",151,38.8216085765748,4.17432963886787,11,1.25860774212586
"152",152,37.13018583193,4.05501979131543,11,1.22263446956896
"153",153,38.2944493140261,3.44289904089941,11,1.03807311906707
"154",154,40.3553903927411,2.76652820991454,11,0.834139640383646
"155",155,36.2194025350369,2.10662638114461,11,0.6351717527019
"156",156,42.4993543953872,3.99199031040349,11,1.20363036603116
"169",169,44.9535809954204,4.25605169680542,11,1.28324786969628
"170",170,48.0016265857064,4.78647481304996,11,1.44317645667029
"171",171,48.6371771686307,3.31646248851268,11,0.999951064153175
"172",172,45.4564005146416,3.91743571595566,11,1.18115131001475
"173",173,43.6858548219313,3.85647982360976,11,1.1627724169536
"174",174,42.9126292325159,3.19788418828632,11,0.964198361414178
"175",175,48.8157023764331,4.47001346932624,11,1.34775977141727
"176",176,43.3842728147868,3.8039385438052,11,1.14693062503389
"177",177,45.1626919418844,3.0336852772349,11,0.914690526964859
"178",178,44.9916590743869,3.74483933849472,11,1.12911154417725
"179",179,50.0983151897039,1.68402891012968,11,0.507753821001026
"180",180,47.7466589229165,2.29099169942533,11,0.690759987710226
"181",181,42.0332888962007,4.81242662841118,11,1.45100122341409
"182",182,46.4543403670219,2.81727152985514,11,0.849439327007277
"183",183,43.5248390708703,2.90282157626884,11,0.875233636530162
"184",184,44.5465691791472,5.04231132878598,11,1.52031406852195
"185",185,41.7332654446712,4.22127049781214,11,1.27276094362178
"186",186,43.404769498043,3.88334719107731,11,1.170873233044
"187",187,41.7154029277306,3.97280206195966,11,1.19784489144277
"188",188,38.586114740693,2.73148019623459,11,0.823572266654223
"189",189,47.0589539448474,3.07454931983006,11,0.92701149939261
"190",190,43.5992286262906,3.15521767804203,11,0.951333924541981
"191",191,44.5291845799462,2.4725756300252,11,0.74550960277911
"192",192,45.0604177600946,3.38934887265803,11,1.02192713583825
"205",205,58.6954616596337,4.3213902435058,11,1.30294818276466
"206",206,55.6752738169947,3.57171084710618,11,1.07691133995397
"207",207,59.8038082274686,5.04648616981657,11,1.52157283045448
"208",208,53.3493777332466,5.40710535639514,11,1.63030360628033
"209",209,57.8330688382339,4.51772218294464,11,1.36214448980843
"210",210,54.0688533596872,3.63200764174969,11,1.09509150758066
"211",211,60.1795583745475,3.67530637400379,11,1.10814656656111
"212",212,58.9919647307131,3.58675434749743,11,1.08144712598409
"213",213,62.0980135671876,4.85097149201089,11,1.4626229370646
"214",214,60.8712046749714,3.74915382713376,11,1.13041241144797
"215",215,55.1804017314292,5.53736458797566,11,1.66957824233784
"216",216,55.8876661828765,4.67313811108436,11,1.40900415527063
"217",217,64.114623423863,6.11183291114859,11,1.84278695887504
"218",218,57.3561978230523,5.78125753429356,11,1.74311473251518
"219",219,60.0828130378321,4.41634824404143,11,1.33157909718458
"220",220,51.6117910486719,6.07057770447994,11,1.83034804604154
"221",221,50.0381522444821,5.57455088719671,11,1.68079033341584
"222",222,59.1322635429477,4.85786596045438,11,1.46470169751515
"223",223,49.7975043763691,7.6505831239778,11,2.30673760451449
"224",224,52.726724225562,9.52887046406156,11,2.87306254592654
"225",225,50.5029833685894,9.06707957806554,11,2.73382735497612
"226",226,52.3813582396143,6.86135664513593,11,2.06877686770251
"227",227,51.8261934678485,9.78327393196457,11,2.94976807759922
"228",228,55.3127583892031,7.80991009525769,11,2.3547764938526
"229",229,66.6259623263814,2.99747750168069,11,0.90377347187334
"230",230,64.5157472865956,2.67180238659402,11,0.80557873002804
"231",231,60.9020308167332,5.154044469024,11,1.55400287786901
"232",232,62.3722520343807,5.72631550392979,11,1.72654908706637
"233",233,63.0816523184608,6.10935806593716,11,1.84204076496772
"234",234,61.021474160455,4.53992033704936,11,1.36883748509969
"235",235,60.542899595287,4.110597895768,11,1.23939189857154
"236",236,63.7681160529539,3.9267430567394,11,1.18395757884889
"237",237,60.3930609119233,2.73934982016874,11,0.825945047547932
"238",238,61.6737416553411,5.76674140226669,11,1.73873795402969
"239",239,62.042814725639,3.12910939264712,11,0.943461980307941
"240",240,63.7321569696822,4.27963614239255,11,1.29035884759637
"13",13,26.3530669557571,8.5832326494755,11,2.58794201696712
"14",14,28.399251993035,4.16598199376357,11,1.25609083242641
"15",15,33.8554556426748,4.4627909516915,11,1.34558210041398
"16",16,26.1565772312506,4.31357881935184,11,1.30059294976494
"17",17,36.0024788326237,3.8652200847137,11,1.16540770483101
"18",18,28.590720508542,5.11200613357395,11,1.54132784282366
"19",19,34.1030415641251,3.92332222461748,11,1.18292615915624
"20",20,29.1956374131651,9.81346159437997,11,2.95887000028375
"21",21,34.8862763752744,2.82437822815074,11,0.851582077165892
"22",22,28.4645006483565,4.59037312482978,11,1.38404957298106
"23",23,27.5295167075428,8.06618270429655,11,2.43204559278236
"24",24,31.1967308587654,8.52161540100399,11,2.56936371753129
"25",25,35.1610161451431,4.18501525241861,11,1.26182957583518
"26",26,38.1956477022284,3.57543838421384,11,1.07803523467926
"27",27,34.2171242277953,3.8952376580244,11,1.17445834372088
"28",28,36.4855981214283,3.7077365742522,11,1.11792463984293
"29",29,43.4465633888046,2.39569820216397,11,0.72233018613699
"30",30,35.7681605927023,2.7870941005656,11,0.840340489726288
"31",31,36.6341126390127,2.7940834570549,11,0.842447859999109
"32",32,35.6934171485769,2.58068459941512,11,0.77810568350078
"33",33,35.421572010721,3.53620211155842,11,1.06620505335471
"34",34,35.6398440083563,3.30265697080139,11,0.995788543945449
"35",35,38.0590134669411,4.00029770731382,11,1.20613514044353
"36",36,36.4526291242328,3.10613519605409,11,0.936534999402584
"37",37,45.1982095369304,3.92391983467021,11,1.18310634536677
"38",38,40.1934504390072,5.96718002210456,11,1.79917247180231
"39",39,43.9698475278734,5.7003053447436,11,1.71870672899746
"40",40,45.5081794943564,6.0503369514433,11,1.8242452293782
"41",41,46.7262446024503,3.64834883693207,11,1.10001856331211
"42",42,47.3541826853314,3.8693437777803,11,1.16665104507214
"43",43,43.8720125948956,5.42175108471349,11,1.63471945951791
"44",44,43.0828840040626,5.11608508787918,11,1.5425576938207
"45",45,43.9125115500242,3.96257586830882,11,1.19476157804519
"46",46,55.287925082279,2.35315602160391,11,0.709503236075057
"47",47,44.9035256037842,3.44115791005749,11,1.03754814836584
"48",48,43.7742026402666,4.59635532111913,11,1.38585327302779
"49",49,48.7048777152665,3.91724455478268,11,1.18109367275245
"50",50,52.0834488022968,3.11193576102551,11,0.938283935546426
"51",51,56.5522201709041,2.71383439331093,11,0.818251856888559
"52",52,51.2195441250703,3.48644108440406,11,1.05120153914982
"53",53,51.3515112454385,4.33740101868534,11,1.30777561311678
"54",54,50.2408969229641,5.1711573703955,11,1.55916261177116
"55",55,55.4765348894255,2.73259213404944,11,0.823907528519867
"56",56,49.9481211396904,3.38486809899283,11,1.02057613174571
"57",57,52.2763196131568,3.87251686903836,11,1.16760776808383
"58",58,53.4174564732117,4.42315205407804,11,1.33363052309697
"59",59,48.7444749391015,3.80841851219869,11,1.14828138632787
"60",60,50.3768169768121,4.06359072608967,11,1.22521870363703
"99",99,58.8248686713365,2.05761507057585,11,0.620394286552794
