"","asv","direction","domain","conf.d","phylum","conf.p","class","conf.c","order","conf.o","family","conf.f","genus","conf.g","species","conf.s","num"
"ASV3","ASV3","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Capnodiales",100,"Mycosphaerellaceae",100,"Davidiella",100,"Davidiella_tassiana|SH196750.06FU",100,3
"ASV6","ASV6","+","Fungi",100,"Ascomycota",97,"Dothideomycetes",100,"Capnodiales",100,"Mycosphaerellaceae",100,"Dissoconium",99,"Dissoconium_sp_GS_2011|SH197940.06FU",99,6
"ASV7","ASV7","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Pleosporales",100,"Pleosporales_Incertae sedis",98,"Phoma",98,"Phoma_brasiliensis|SH202145.06FU",100,7
"ASV8","ASV8","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Pleosporales",100,"Pleosporaceae",100,"Alternaria",100,"Alternaria alternata",73,8
"ASV12","ASV12","+","Fungi",100,"Basidiomycota",100,"Microbotryomycetes",100,"Sporidiobolales",100,"Sporidiobolaceae",100,"Sporidiobolus",100,"Sporobolomyces ruberrimus",94,12
"ASV13","ASV13","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Capnodiales",100,"Mycosphaerellaceae",100,"Mycosphaerella",100,"Sphaerulina_pseudovirgaureae|SH212655.06FU",72,13
"ASV14","ASV14","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Pleosporales",100,"Pleosporales_Incertae sedis",87,"Phoma",87,"",63,14
"ASV15","ASV15","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Capnodiales",100,"Mycosphaerellaceae",100,"Mycosphaerella",100,"Uwebraunia commune",99,15
"ASV16","ASV16","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Capnodiales",100,"Mycosphaerellaceae",100,"Mycosphaerella",100,"Mycosphaerella lateralis",82,16
"ASV17","ASV17","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Capnodiales",100,"Mycosphaerellaceae",100,"Davidiella",100,"Davidiella macrospora",74,17
"ASV19","ASV19","+","Fungi",100,"Ascomycota",83,"Dothideomycetes",72,"Pleosporales",72,"Phaeosphaeriaceae",100,"Eudarluca",100,"Eudarluca_caricis|SH225744.06FU",100,19
"ASV20","ASV20","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Pleosporales",100,"Didymellaceae",100,"",51,"",33,20
"ASV21","ASV21","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Pleosporales",100,"Pleosporales_Incertae sedis",100,"Phoma",100,"Phoma paspali",100,21
"ASV22","ASV22","+","Fungi",100,"Basidiomycota",100,"Microbotryomycetes",100,"Sporidiobolales",100,"Sporidiobolaceae",99,"Sporidiobolus",99,"Sporobolomyces_ruberrimus|SH196707.06FU",100,22
"ASV24","ASV24","+","Fungi",100,"Ascomycota",99,"Dothideomycetes",99,"Pleosporales",98,"Phaeosphaeriaceae",84,"Ascomycota_unidentified_1_1",96,"",62,24
"ASV25","ASV25","+","Fungi",100,"Basidiomycota",100,"Tremellomycetes",100,"Cystofilobasidiales",100,"Cystofilobasidiaceae",100,"Udeniomyces",100,"Udeniomyces megalosporus",100,25
"ASV26","ASV26","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Pleosporales",100,"Phaeosphaeriaceae",95,"Phaeosphaeria",95,"Phaeosphaeria sp 1 MM_2012",78,26
"ASV27","ASV27","+","Fungi",100,"Basidiomycota",100,"Microbotryomycetes",100,"Sporidiobolales",100,"Sporidiobolaceae",100,"Sporidiobolus",100,"Sporidiobolus pararoseus",100,27
"ASV28","ASV28","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Capnodiales",100,"Schizothyriaceae",100,"Zygophiala",100,"Schizothyriaceae_sp|SH232271.06FU",97,28
"ASV29","ASV29","+","Fungi",100,"Basidiomycota",100,"Tremellomycetes",100,"Tremellales",100,"Tremellales_Incertae sedis",100,"Bulleromyces",100,"Bulleromyces_albus|SH234350.06FU",100,29
"ASV30","ASV30","+","Fungi",100,"Ascomycota",99,"Dothideomycetes",99,"Pleosporales",99,"Phaeosphaeriaceae",96,"Phaeosphaeriopsis",94,"Phaeosphaeria oryzae",90,30
"ASV31","ASV31","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Capnodiales",100,"Mycosphaerellaceae",100,"Mycosphaerella",100,"Mycosphaerella lateralis",96,31
"ASV32","ASV32","+","Fungi",100,"Ascomycota",79,"",11,"",7,"",6,"",6,"",4,32
"ASV33","ASV33","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Pleosporales",100,"Phaeosphaeriaceae",94,"Phaeosphaeria",94,"Phaeosphaeria sp 1 MM_2012",82,33
"ASV34","ASV34","+","Fungi",100,"Basidiomycota",98,"Exobasidiomycetes",89,"Entylomatales",77,"Entylomataceae",77,"Entyloma",77,"Exobasidiomycetes_sp|SH230059.06FU",100,34
"ASV35","ASV35","+","Fungi",100,"Basidiomycota",99,"Tremellomycetes",99,"Tremellales",99,"Tremellales_Incertae sedis",98,"Hannaella",97,"Hannaella oryzae",97,35
"ASV36","ASV36","+","Fungi",100,"Basidiomycota",100,"Tremellomycetes",100,"Tremellales",100,"Tremellaceae",100,"Cryptococcus",100,"Cryptococcus magnus",99,36
"ASV38","ASV38","+","Fungi",100,"Ascomycota",95,"Dothideomycetes",77,"Capnodiales",77,"",17,"",1,"",1,38
"ASV39","ASV39","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Capnodiales",100,"Mycosphaerellaceae",100,"Mycosphaerella",100,"",51,39
"ASV40","ASV40","+","Fungi",100,"Basidiomycota",100,"Microbotryomycetes",100,"Sporidiobolales",100,"Sporidiobolaceae",99,"Sporidiobolus",99,"Sporobolomyces ruberrimus",73,40
"ASV41","ASV41","+","Fungi",100,"Basidiomycota",99,"Tremellomycetes",99,"Tremellales",99,"Tremellaceae",97,"Cryptococcus",97,"Cryptococcus luteolus",97,41
"ASV42","ASV42","+","Fungi",100,"Basidiomycota",100,"Tremellomycetes",100,"Tremellales",100,"Tremellales_Incertae sedis",100,"Hannaella",100,"Hannaella zeae",100,42
"ASV43","ASV43","+","Fungi",100,"Ascomycota",98,"Dothideomycetes",95,"Pleosporales",93,"Pleosporaceae",78,"Dothideomycetes_unidentified_1",100,"Dothideomycetes_sp|SH225320.06FU",100,43
"ASV44","ASV44","+","Fungi",100,"Basidiomycota",97,"Exobasidiomycetes",85,"Exobasidiomycetes_unidentified",100,"Exobasidiomycetes_unidentified_1",100,"Exobasidiomycetes_unidentified_1",100,"Exobasidiomycetes_sp|SH230060.06FU",97,44
"ASV45","ASV45","+","Fungi",100,"",63,"",5,"",5,"",4,"",4,"",3,45
"ASV46","ASV46","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Pleosporales",100,"Pleosporaceae",97,"Epicoccum",97,"Epicoccum sorghi",97,46
"ASV47","ASV47","+","Fungi",100,"Basidiomycota",100,"Tremellomycetes",100,"Tremellales",100,"Tremellales_Incertae sedis",100,"Bullera",100,"Cryptococcus cellulolyticus",79,47
"ASV48","ASV48","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",99,"Capnodiales",99,"Mycosphaerellaceae",99,"Mycosphaerella",91,"",60,48
"ASV49","ASV49","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Pleosporales",100,"Didymellaceae",100,"Leptosphaerulina",100,"Leptosphaerulina chartarum",100,49
"ASV50","ASV50","+","Fungi",100,"Ascomycota",94,"Dothideomycetes",92,"Pleosporales",91,"Pleosporaceae",77,"Dothideomycetes_unidentified_1",100,"Dothideomycetes_sp|SH225320.06FU",100,50
"ASV51","ASV51","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Pleosporales",100,"Phaeosphaeriaceae",100,"Phaeosphaeriopsis",100,"Phaeosphaeria oryzae",89,51
"ASV52","ASV52","+","Fungi",100,"Ascomycota",100,"Sordariomycetes",100,"Hypocreales",100,"Nectriaceae",100,"Gibberella",90,"Ascomycota_sp|SH217298.06FU",95,52
"ASV54","ASV54","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Pleosporales",100,"Didymellaceae",100,"",61,"",61,54
"ASV55","ASV55","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Pleosporales",100,"Phaeosphaeriaceae",92,"Phaeosphaeria",92,"Phaeosphaeria sp 1 MM_2012",77,55
"ASV56","ASV56","+","Fungi",100,"Ascomycota",97,"Dothideomycetes",95,"Pleosporales",95,"Phaeosphaeriaceae",87,"Phaeosphaeriopsis",81,"Phaeosphaeria oryzae",81,56
"ASV57","ASV57","+","Fungi",100,"Basidiomycota",100,"Tremellomycetes",100,"Tremellales",100,"Tremellales_Incertae sedis",100,"Dioszegia",100,"Dioszegia zsoltii",85,57
"ASV58","ASV58","+","Fungi",100,"Ascomycota",81,"Dothideomycetes",77,"Pleosporales",73,"Incertae_sedis_19",80,"Leptospora",80,"Leptospora_rubella|SH213116.06FU",79,58
"ASV59","ASV59","+","Fungi",100,"Ascomycota",100,"Sordariomycetes",100,"Xylariales",100,"Hyponectriaceae",100,"Monographella",84,"Monographella albescens",84,59
"ASV60","ASV60","+","Fungi",100,"Ascomycota",78,"Dothideomycetes",70,"",28,"",28,"",28,"",26,60
"ASV61","ASV61","+","Fungi",100,"Basidiomycota",100,"Microbotryomycetes",100,"Sporidiobolales",100,"Sporidiobolales_Incertae sedis",100,"Sporobolomyces",100,"Sporobolomyces coprosmae",93,61
"ASV63","ASV63","+","Fungi",100,"Ascomycota",100,"Sordariomycetes",100,"Hypocreales",100,"Nectriaceae",100,"Gibberella",94,"Fusarium equiseti",80,63
"ASV64","ASV64","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Pleosporales",100,"Phaeosphaeriaceae",97,"Phaeosphaeria",97,"Phaeosphaeria sp 1 MM_2012",81,64
"ASV65","ASV65","+","Fungi",100,"Basidiomycota",100,"Tremellomycetes",100,"Tremellales",100,"Tremellales_Incertae sedis",100,"Bullera",100,"Bullera penniseticola",100,65
"ASV66","ASV66","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Pleosporales",100,"Phaeosphaeriaceae",99,"Phaeosphaeria",99,"Phaeosphaeria sp 1 MM_2012",92,66
"ASV67","ASV67","+","Fungi",100,"Basidiomycota",100,"Cystobasidiomycetes",100,"Erythrobasidiales",100,"Erythrobasidiales_Incertae sedis",100,"Erythrobasidium",100,"Sporobolomyces yunnanensis",100,67
"ASV68","ASV68","+","Fungi",100,"",60,"",31,"",31,"",24,"",23,"",23,68
"ASV69","ASV69","+","Fungi",100,"Ascomycota",94,"Dothideomycetes",92,"Pleosporales",91,"Pleosporaceae",78,"Dothideomycetes_unidentified_1",100,"Dothideomycetes_sp|SH225320.06FU",100,69
"ASV70","ASV70","+","Fungi",100,"Basidiomycota",100,"Ustilaginomycetes",100,"Ustilaginales",100,"Ustilaginaceae",100,"Pseudozyma",100,"Pseudozyma_sp_Vega417|SH241684.06FU",100,70
"ASV72","ASV72","+","Fungi",100,"Ascomycota",100,"Sordariomycetes",100,"Hypocreales",100,"Nectriaceae",100,"Gibberella",99,"Fusarium cerealis",80,72
"ASV73","ASV73","+","Fungi",100,"Ascomycota",95,"Dothideomycetes",83,"Capnodiales",83,"",14,"",0,"",0,73
"ASV74","ASV74","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Capnodiales",100,"Mycosphaerellaceae",100,"Davidiella",99,"Davidiella_tassiana|SH196750.06FU",100,74
"ASV75","ASV75","+","Fungi",100,"Ascomycota",78,"Dothideomycetes",72,"Incertae_sedis_8",100,"Incertae_sedis_19",100,"Leptospora",100,"Leptospora_rubella|SH213116.06FU",100,75
"ASV76","ASV76","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Dothideales",100,"Dothioraceae",100,"Kabatiella",100,"",54,76
"ASV77","ASV77","+","Fungi",100,"Basidiomycota",99,"Tremellomycetes",99,"Tremellales",99,"Tremellaceae",98,"Cryptococcus",98,"Cryptococcus_victoriae|SH198055.06FU",86,77
"ASV78","ASV78","+","Fungi",100,"Basidiomycota",99,"Tremellomycetes",97,"Tremellales",97,"Tremellales_Incertae sedis",97,"Hannaella",96,"Hannaella coprosmaensis",76,78
"ASV79","ASV79","+","Fungi",100,"Basidiomycota",98,"Tremellomycetes",93,"Tremellales",93,"Tremellales_Incertae sedis",93,"Bullera",91,"Bullera variabilis",91,79
"ASV80","ASV80","+","Fungi",100,"Basidiomycota",100,"Tremellomycetes",100,"Tremellales",100,"Tremellales_Incertae sedis",100,"Hannaella",100,"Hannaella coprosmaensis",100,80
"ASV81","ASV81","+","Fungi",100,"Ascomycota",99,"Dothideomycetes",99,"Pleosporales",99,"Phaeosphaeriaceae",98,"Phaeosphaeriopsis",98,"Phaeosphaeria oryzae",91,81
"ASV82","ASV82","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Dothideomycetes_unidentified",90,"Dothideomycetes_unidentified_1",90,"Dothideomycetes_unidentified_1",90,"",25,82
"ASV83","ASV83","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Pleosporales",100,"Phaeosphaeriaceae",100,"Phaeosphaeria",100,"Stagonospora_pseudovitensis|SH199974.06FU",83,83
"ASV84","ASV84","+","Fungi",100,"Basidiomycota",99,"Tremellomycetes",99,"Tremellales",99,"Tremellales_Incertae sedis",99,"Kockovaella",95,"",42,84
"ASV85","ASV85","+","Fungi",100,"Basidiomycota",100,"Tremellomycetes",100,"Cystofilobasidiales",100,"Cystofilobasidiaceae",100,"Udeniomyces",100,"Udeniomyces pyricola",100,85
"ASV86","ASV86","+","Fungi",100,"Basidiomycota",100,"Ustilaginomycetes",100,"Ustilaginales",100,"Ustilaginaceae",100,"Pseudozyma",100,"Pseudozyma aphidis",90,86
"ASV87","ASV87","+","Fungi",100,"Basidiomycota",100,"Tremellomycetes",100,"Tremellales",100,"Tremellaceae",100,"Cryptococcus",100,"Cryptococcus victoriae",100,87
"ASV89","ASV89","+","Fungi",100,"Basidiomycota",98,"Tremellomycetes",98,"Tremellales",98,"Tremellales_Incertae sedis",96,"Kockovaella",91,"",41,89
"ASV90","ASV90","+","Fungi",100,"Basidiomycota",100,"Microbotryomycetes",100,"Sporidiobolales",100,"Sporidiobolales_Incertae sedis",100,"Sporobolomyces",100,"Sporobolomyces vermiculatus",90,90
"ASV91","ASV91","+","Fungi",100,"Basidiomycota",100,"Tremellomycetes",100,"Tremellales",100,"Tremellales_Incertae sedis",100,"Hannaella",100,"Hannaella sinensis",100,91
"ASV92","ASV92","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Pleosporales",100,"Phaeosphaeriaceae",98,"Phaeosphaeria",98,"Phaeosphaeria herpotrichoides",93,92
"ASV93","ASV93","+","Fungi",100,"Basidiomycota",100,"Tremellomycetes",99,"Tremellales",99,"Tremellales_Incertae sedis",99,"Hannaella",98,"Hannaella sinensis",98,93
"ASV94","ASV94","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Capnodiales",100,"Mycosphaerellaceae",100,"Dissoconium",100,"Dissoconium aciculare",88,94
"ASV95","ASV95","+","Fungi",100,"Ascomycota",76,"Dothideomycetes",70,"",29,"",29,"",29,"",27,95
"ASV96","ASV96","+","Fungi",100,"Ascomycota",99,"Dothideomycetes",99,"Pleosporales",98,"Phaeosphaeriaceae",84,"Ascomycota_unidentified_1_1",95,"Ascomycota_sp|SH207016.06FU",70,96
"ASV97","ASV97","+","Fungi",100,"Basidiomycota",100,"Tremellomycetes",100,"Tremellales",100,"Tremellaceae",100,"Cryptococcus",100,"Cryptococcus aureus",99,97
"ASV98","ASV98","+","Fungi",100,"Basidiomycota",100,"Tremellomycetes",100,"Tremellales",100,"Tremellaceae",100,"Cryptococcus",100,"Cryptococcus oeirensis",100,98
"ASV99","ASV99","+","Fungi",100,"Ascomycota",93,"",67,"",67,"",67,"",67,"",67,99
"ASV100","ASV100","+","Fungi",100,"Ascomycota",94,"Dothideomycetes",92,"Pleosporales",91,"Pleosporaceae",78,"Dothideomycetes_unidentified_1",100,"Dothideomycetes_sp|SH225320.06FU",100,100
"ASV101","ASV101","+","Fungi",100,"Basidiomycota",99,"Tremellomycetes",99,"Tremellales",99,"Tremellales_Incertae sedis",99,"Hannaella",99,"Hannaella_sp|SH237054.06FU",99,101
"ASV102","ASV102","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Pleosporales",100,"Phaeosphaeriaceae",100,"Ophiosphaerella",100,"Ophiosphaerella agrostis",100,102
"ASV103","ASV103","+","Fungi",100,"Ascomycota",97,"Dothideomycetes",95,"Pleosporales",95,"Phaeosphaeriaceae",94,"Phaeosphaeriopsis",90,"Phaeosphaeria oryzae",89,103
"ASV104","ASV104","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Pleosporales",100,"Didymellaceae",100,"Leptosphaerulina",82,"Leptosphaerulina australis",82,104
"ASV105","ASV105","+","Fungi",100,"Basidiomycota",99,"Exobasidiomycetes",87,"Entylomatales",77,"Entylomataceae",77,"Entyloma",77,"Exobasidiomycetes_sp|SH230059.06FU",98,105
"ASV106","ASV106","+","Fungi",100,"Basidiomycota",99,"Tremellomycetes",92,"Tremellales",91,"Tremellales_Incertae sedis",91,"Hannaella",90,"Hannaella_sp_CMON52|SH197181.06FU",100,106
"ASV107","ASV107","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Capnodiales",100,"Mycosphaerellaceae",100,"Dissoconium",100,"Dissoconium aciculare",99,107
"ASV108","ASV108","+","Fungi",100,"Ascomycota",99,"Dothideomycetes",99,"Pleosporales",99,"Phaeosphaeriaceae",98,"Phaeosphaeriopsis",89,"Phaeosphaeria oryzae",86,108
"ASV109","ASV109","+","Fungi",100,"Basidiomycota",99,"Tremellomycetes",97,"Tremellales",97,"Tremellales_Incertae sedis",96,"Hannaella",96,"Hannaella oryzae",96,109
"ASV110","ASV110","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",96,"Capnodiales",96,"Mycosphaerellaceae",96,"",36,"",36,110
"ASV111","ASV111","+","Fungi",100,"Ascomycota",94,"Sordariomycetes",100,"Incertae_sedis_7",100,"Magnaporthaceae",100,"Pyricularia",100,"Pyricularia_sp|SH230953.06FU",100,111
"ASV112","ASV112","+","Fungi",100,"Basidiomycota",100,"Tremellomycetes",100,"Tremellales",100,"Tremellales_Incertae sedis",100,"Dioszegia",99,"Dioszegia hungarica",97,112
"ASV113","ASV113","+","Fungi",100,"Ascomycota",98,"Dothideomycetes",95,"Pleosporales",95,"Phaeosphaeriaceae",94,"Phaeosphaeriopsis",86,"Phaeosphaeria oryzae",83,113
"ASV114","ASV114","+","Fungi",100,"Basidiomycota",100,"Tremellomycetes",100,"Tremellales",100,"Tremellales_Incertae sedis",100,"Auriculibuller",100,"Auriculibuller fuscus",100,114
"ASV115","ASV115","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Pleosporales",100,"Leptosphaeriaceae",96,"Neosetophoma",96,"Neosetophoma_sp|SH207000.06FU",96,115
"ASV117","ASV117","+","Fungi",100,"Basidiomycota",100,"Tremellomycetes",100,"Tremellales",100,"Tremellales_Incertae sedis",100,"Bullera",100,"Bullera penniseticola",100,117
"ASV118","ASV118","+","Fungi",100,"Ascomycota",95,"Dothideomycetes",93,"Pleosporales",89,"Fungi_unidentified_1_1",100,"Fungi_unidentified_1_1",100,"Fungi_sp|SH213113.06FU",100,118
"ASV119","ASV119","+","Fungi",100,"Basidiomycota",100,"Microbotryomycetes",100,"Sporidiobolales",100,"Sporidiobolales_Incertae sedis",100,"Sporobolomyces",100,"Sporobolomyces_oryzicola|SH215231.06FU",100,119
"ASV120","ASV120","+","Fungi",100,"",57,"",15,"",15,"",13,"",12,"",12,120
"ASV121","ASV121","+","Fungi",100,"Ascomycota",79,"Dothideomycetes",100,"Pleosporales",100,"Incertae_sedis_13",100,"Periconia",100,"Periconia_sp|SH232015.06FU",100,121
"ASV122","ASV122","+","Fungi",100,"Basidiomycota",100,"Exobasidiomycetes",100,"Exobasidiomycetidae_Incertae sedis",94,"Exobasidiomycetidae_Incertae sedis",94,"Tilletiopsis",94,"Tilletiopsis pallescens",94,122
"ASV123","ASV123","+","Fungi",100,"Basidiomycota",99,"Tremellomycetes",95,"Tremellales",95,"Tremellales_Incertae sedis",95,"Bullera",93,"Bullera variabilis",93,123
"ASV125","ASV125","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Pleosporales",100,"Pleosporaceae",100,"Cochliobolus",100,"Cochliobolus_lunatus|SH224802.06FU",100,125
"ASV127","ASV127","+","Fungi",100,"Ascomycota",94,"Dothideomycetes",86,"Pleosporales",86,"",28,"",28,"",9,127
"ASV128","ASV128","+","Fungi",100,"Basidiomycota",98,"Exobasidiomycetes",85,"Entylomatales",71,"Entylomataceae",71,"Entyloma",71,"Exobasidiomycetes_sp|SH230059.06FU",100,128
"ASV129","ASV129","+","Fungi",100,"Ascomycota",86,"Dothideomycetes",73,"Pleosporales",73,"Phaeosphaeriaceae",100,"Eudarluca",100,"Eudarluca_caricis|SH225744.06FU",100,129
"ASV130","ASV130","+","Fungi",100,"Ascomycota",88,"Dothideomycetes",84,"Pleosporales",83,"Phaeosphaeriaceae",75,"",34,"",22,130
"ASV131","ASV131","+","Fungi",100,"Ascomycota",93,"Dothideomycetes",74,"Pleosporales",75,"",48,"",48,"",48,131
"ASV132","ASV132","+","Fungi",100,"Ascomycota",100,"Sordariomycetes",100,"Sordariomycetidae_Incertae sedis",99,"Plectosphaerellaceae",99,"Plectosphaerella",96,"",64,132
"ASV133","ASV133","+","Fungi",100,"Ascomycota",92,"Fungi_unidentified_1",98,"Fungi_unidentified_1",98,"Fungi_unidentified_1_1",98,"Fungi_unidentified_1_1",98,"Fungi_sp|SH189980.06FU",98,133
